zip,city,state,trash
01566,Sturbridge,MA,0
01568,Upton,MA,0420
01569,Uxbridge,MA,0
01570,Webster,MA,04
01571,Dudley,MA,042
01580,Westborough,MA,0
01581,Westborough,MA,0
01582,Westborough,MA,0
01583,West Boylston,MA,0
01585,West Brookfield,MA,0
01586,West Millbury,MA,0
01588,Whitinsville,MA,0
01590,Sutton,MA,042
01601,Worcester,MA,0
01602,Worcester,MA,0
01603,Worcester,MA,0
01604,Worcester,MA,0
01605,Worcester,MA,0
01606,Worcester,MA,0
01607,Worcester,MA,0
01608,Worcester,MA,0
01609,Worcester,MA,0
01610,Worcester,MA,0
01611,Cherry Valley,MA,0
01612,Paxton,MA,042
01613,Worcester,MA,0
01614,Worcester,MA,0
01615,Worcester,MA,0
01634,Tolland,MA,04
01653,Worcester,MA,0
01654,Worcester,MA,0
01655,Worcester,MA,0
01701,Framingham,MA,0
01702,Framingham,MA,0
01703,Framingham,MA,0
01704,Framingham,MA,0
01705,Framingham,MA,0
01718,Village Of Nagog Wood1,MA,0
01719,Boxborough,MA,0420
01720,Acton,MA,042047714
01721,Ashland,MA,0420257
01730,Bedford,MA,0420496
01731,Hanscom AFB,MA,042
01740,Bolton,MA,04204370
01741,Carlisle,MA,042052
01742,Concord,MA,0420457
01745,Fayville,MA,042029
01746,Holliston,MA,04201
01747,Hopedale,MA,042012
01748,Hopkinton,MA,04202
01749,Hudson,MA,04203898
01750,Natick,MA,04202738
01752,Marlborough,MA,042
01754,Maynard,MA,0420430
01756,Mendon,MA,04200920
01757,Milford,MA,0420149
01760,Natick,MA,04202907
01770,Sherborn,MA,042023
01772,Southborough,MA,04
01773,Lincoln,MA,0420425
01775,Stow,MA,0420423882
01776,Sudbury,MA,0420385
01778,Wayland,MA,0420345
01784,Woodville,MA,04204
01801,Woburn,MA,04204845
01803,Burlington,MA,0420
01805,Burlington,MA,0420
01806,Woburn,MA,04204463
01807,Woburn,MA,04204463
01808,Woburn,MA,04204463
01810,Andover,MA,0420646
01812,Andover,MA,0420647
01813,Woburn,MA,04204463
01815,Woburn,MA,04204463
01820,Pinehurst,MA,04205
01821,BillericA,0MA,04205
01822,BillericA,0MA,04204
01823,Haverhill,MA,04208
01824,Chelmsford,MA,0420
01826,Dracut,MA,04206777
01827,Dunstable,MA,04206
01830,Haverhill,MA,04207
01831,Haverhill,MA,04207
01832,Haverhill,MA,04207
01833,Georgetown,MA,0420
01834,Groveland,MA,04207
01835,Haverhill,MA,04207
01840,Lawrence,MA,042070
01841,Lawrence,MA,042071
01842,Lawrence,MA,042063
01843,Lawrence,MA,042069
01844,Methuen,MA,0420730
01845,North Andover,MA,0
01850,Lowell,MA,04206557
01851,Lowell,MA,04206309
01852,Lowell,MA,04206341
01853,Lowell,MA,04204463
01854,Lowell,MA,04206497
01856,Lowell,MA,04206417
01860,Merrimac,MA,042083
01862,North BillericA,0MA,0
01863,North Chelmsford,MA,0
01864,North Reading,MA,0
01865,Nutting Lake,MA,04
01866,Pinehurst,MA,04204
01867,Reading,MA,0420525
01876,Tewksbury,MA,04206
01879,Tyngsboro,MA,04206
01880,Wakefield,MA,04205
01885,West Boxford,MA,04
01886,Westford,MA,042059
01887,Wilmington,MA,0420
01888,Woburn,MA,04204463
01889,North Reading,MA,0
01890,Winchester,MA,0420
01899,Andover,MA,0420635
01901,Lynn,MA,0420461246
01902,Lynn,MA,0420469946
01903,Lynn,MA,0420635443
01904,Lynn,MA,0420490421
01905,Lynn,MA,0420464879
01906,Saugus,MA,04204627
01907,Swampscott,MA,0420
01908,Nahant,MA,04204270
01910,Lynn,MA,0420454796
01913,Amesbury,MA,042085
01915,Beverly,MA,0420560
01921,Boxford,MA,0420677
01922,Byfield,MA,0420760
01923,Danvers,MA,0420569
01929,Essex,MA,042063175
01930,Gloucester,MA,0420
01931,Gloucester,MA,0420
01936,Hamilton,MA,042063
01937,Hathorne,MA,042063
01938,Ipswich,MA,0420682
01940,Lynnfield,MA,04205
01944,Manchester,MA,0420
01945,Marblehead,MA,0420
01947,Salem,MA,042064284
01949,Middleton,MA,04206
01950,Newburyport,MA,042
01951,Newbury,MA,0420780
01952,Salisbury,MA,04208
01960,Peabody,MA,0420534
01961,Peabody,MA,0420635
01965,Prides Crossing,MA,0
01966,Rockport,MA,042065
01969,Rowley,MA,04207167
01970,Salem,MA,042051684
01971,Salem,MA,042063544
01982,South Hamilton,MA,0
01983,Topsfield,MA,04206
01984,Wenham,MA,04206005
01985,West Newbury,MA,04
02018,Accord,MA,04109704
02019,Bellingham,MA,0420
02020,Brant Rock,MA,0420
02021,Canton,MA,04201667
02025,Cohasset,MA,042024
02026,Dedham,MA,04202446
02027,Dedham,MA,04201800
02029,Providence,RI,410
02030,Dover,MA,042023888
02031,East Mansfield,MA,0
02032,East Walpole,MA,04
02035,Foxboro,MA,0420061
02038,Franklin,MA,042008
02040,Greenbush,MA,04109
02041,Green Harbor,MA,04
02043,Hingham,MA,0420225
02044,Hingham,MA,0410970
02045,Hull,MA,0420286347
02047,Humarock,MA,042014
02048,Mansfield,MA,04200
02050,Marshfield,MA,0420
02051,Marshfield Hills,MA,0
02052,Medfield,MA,042018
02053,Medway,MA,04201515
02054,Millis,MA,04201663
02055,Minot,MA,041097047
02056,Norfolk,MA,0420111
02059,North Marshfield,MA,0
02060,North Scituate,MA,0
02061,Norwell,MA,0420152
02062,Norwood,MA,0420185
02065,Ocean Bluff,MA,042
02066,Scituate,MA,042020
02067,Sharon,MA,04201137
02070,Sheldonville,MA,04
02071,South Walpole,MA,0
02072,Stoughton,MA,04201
02081,Walpole,MA,0420145
02085,Foxborough,MA,0420
02090,Westwood,MA,042021
02093,Wrentham,MA,042005
02101,Boston,MA,04203705
02102,Boston,MA,04203389
02103,Boston,MA,04203389
02104,Boston,MA,04203389
02105,Boston,MA,04203389
02106,Boston,MA,04203543
02107,Boston,MA,04203389
02108,Boston,MA,04203579
02109,Boston,MA,04203614
02110,Boston,MA,04203565
02111,Boston,MA,04203498
02112,Boston,MA,04203389
02113,Boston,MA,04203650
02114,Boston,MA,04203617
02115,Boston,MA,04203430
02116,Boston,MA,04203496
02117,Boston,MA,04203389
02118,Boston,MA,04203387
02119,Boston,MA,04203245
02120,Boston,MA,04203320
02121,Boston,MA,04203074
02122,Boston,MA,04202962
02123,Boston,MA,04203389
02124,Boston,MA,04202871
02125,Boston,MA,04203168
02126,Mattapan,MA,042027
02127,Boston,MA,04203349
02128,Boston,MA,04203782
02129,Charlestown,MA,042
02130,Jamaica Plain,MA,0
02131,Roslindale,MA,0420
02132,West Roxbury,MA,04
02133,Boston,MA,04203389
02134,Allston,MA,0420355
02135,Brighton,MA,042034
02136,Hyde Park,MA,04202
02137,Readville,MA,04203
02138,Cambridge,MA,04203
02139,Cambridge,MA,04203
02140,Cambridge,MA,04203
02141,Cambridge,MA,04203
02142,Cambridge,MA,04203
02143,Somerville,MA,0420
02144,Somerville,MA,0420
02145,Somerville,MA,0420
02146,Brookline,MA,04203
02147,Brookline Village,MA,0
02148,Malden,MA,04204285
02149,Everett,MA,0420409
02150,ChelseA,0MA,0420396
02151,Revere,MA,04204162
02152,Winthrop,MA,042037
02153,Medford,MA,0420446
02154,Waltham,MA,0420388
02155,Medford,MA,0420419
02156,West Medford,MA,04
02157,Babson Park,MA,042
02158,Newton,MA,04203536
02159,Newton,MA,04203160
02160,Newton,MA,04204463
02161,Newton,MA,04204463
02162,Newton,MA,04203318
02163,Boston,MA,04203679
02164,Newton,MA,04204463
02165,Newton,MA,04204463
02166,Auburndale,MA,0420
02167,Chestnut Hill,MA,0
02168,Waban,MA,042044639
02169,Quincy,MA,04202507
02170,Quincy,MA,04202670
02171,Quincy,MA,04202844
02172,Watertown,MA,04203
02173,Lexington,MA,04204
02174,Arlington,MA,04204
02175,Arlington Heights,MA,0
02176,Melrose,MA,0420459
02177,Melrose,MA,0420446
02178,Belmont,MA,0420446
02179,Waverley,MA,042044
02180,Stoneham,MA,042048
02181,Wellesley,MA,04203
02184,Braintree,MA,04202
02185,Braintree,MA,04201
02186,Milton,MA,04202530
02187,Milton Village,MA,0
02188,Weymouth,MA,042021
02189,Weymouth,MA,042021
02190,Weymouth,MA,042017
02191,Weymouth,MA,042024
02192,Needham,MA,0420180
02193,Weston,MA,04204463
02194,Needham,MA,0420292
02195,Newton,MA,04204463
02196,Boston,MA,04203389
02199,Boston,MA,04203471
02201,Boston,MA,04203389
02202,Boston,MA,04203610
02203,Boston,MA,04203614
02204,Boston,MA,04203389
02205,Boston,MA,04203503
02206,Boston,MA,04203389
02207,Boston,MA,04203389
02208,Boston,MA,04203389
02209,Boston,MA,04203389
02210,Boston,MA,04203479
02211,Boston,MA,04203389
02212,Boston,MA,04204463
02215,Boston,MA,04203469
02216,Boston,MA,04203389
02217,Boston,MA,04203389
02222,Boston,MA,04203677
02238,Cambridge,MA,04204
02239,Cambridge,MA,04204
02241,Boston,MA,04203389
02254,Waltham,MA,0420446
02258,Newton,MA,04204463
02266,Boston,MA,04203389
02269,Quincy,MA,04201800
02272,Watertown,MA,04204
02277,Watertown,MA,04204
02283,Boston,MA,04203389
02284,Boston,MA,04203389
02293,Boston,MA,04203389
02295,Boston,MA,04203389
02297,Boston,MA,04203389
02301,Brockton,MA,042007
02302,Brockton,MA,042008
02303,Brockton,MA,041097
02304,Brockton,MA,041097
02305,Brockton,MA,041097
02322,Avon,MA,0420121932
02324,Bridgewater,MA,041
02325,Bridgewater,MA,041
02327,Bryantville,MA,042
02330,Carver,MA,04108736
02331,Duxbury,MA,0410970
02332,Duxbury,MA,0420031
02333,East Bridgewater,MA,0
02334,Easton,MA,04200235
02337,Elmwood,MA,0420022
